item_number,description,location,on_hand_qty,safety_stock,reorder_point,unit_cost,uom,committed_qty
SKU-CEM-101,Portland Cement Type I,MY02,1706,344,218,2547.28,TON,1680
SKU-AGG-220,Crushed Aggregate 20mm,IN01,1282,349,493,3853.31,TON,528
SKU-STL-014,Steel Rebar 12mm,MY02,215,298,221,2511.39,TON,28
SKU-RM-330,Raw Gypsum,MY01,1129,96,591,422.56,TON,179
SKU-PL-220,HDPE Pellets,IN01,643,232,386,3747.36,KG,39
SKU-MT-101,Aluminium Ingot,MY02,437,221,498,2908.14,TON,159
SKU-EL-440,Circuit Board Assy,SG01,811,354,571,3681.77,EA,130
SKU-FS-055,Hex Bolt M12,MY01,1894,58,528,1923.55,EA,511
SKU-CH-012,Industrial Solvent,MY02,561,70,178,3834.3,LTR,172
SKU-PK-770,Corrugated Carton,MY01,1482,94,127,2887.06,EA,99
SKU-TX-330,Cotton Fabric Roll,SG01,262,221,542,3536.21,MTR,88
SKU-RB-201,Rubber Gasket,MY01,1515,237,560,3046.4,EA,549
SKU-TC-090,Timber Panel,IN01,693,137,186,1413.52,M3,49
SKU-CP-330,Cast Part 330,MY02,475,65,519,2265.27,EA,194
SKU-WR-410,Copper Wire 2.5mm,MY02,1511,382,598,1931.16,MTR,265
SKU-CE-500,Ceramic Tile,MY01,490,274,434,3972.47,M2,82
SKU-CEM-101,Portland Cement Type I,TH01,794,96,303,3785.95,TON,298
SKU-AGG-220,Crushed Aggregate 20mm,MY02,279,342,476,2195.89,TON,29
SKU-STL-014,Steel Rebar 12mm,CN01,1066,96,221,2553.36,TON,424
SKU-STL-014,Steel Rebar 12mm,SG01,691,218,526,2497.73,TON,155
SKU-RM-330,Raw Gypsum,IN01,496,123,154,1028.8,TON,241
SKU-RM-330,Raw Gypsum,TH01,950,259,230,3497.81,TON,71
SKU-PL-220,HDPE Pellets,SG01,698,329,316,2104.73,KG,112
SKU-PL-220,HDPE Pellets,MY01,618,124,285,2106.05,KG,133
SKU-MT-101,Aluminium Ingot,MY01,1371,360,117,3420.89,TON,477
SKU-EL-440,Circuit Board Assy,MY02,568,332,296,1510.27,EA,273
SKU-FS-055,Hex Bolt M12,MY02,1145,171,539,1988.23,EA,61
SKU-CH-012,Industrial Solvent,SG01,666,96,579,3353.52,LTR,103
SKU-PK-770,Corrugated Carton,IN01,948,373,262,3557.29,EA,374
SKU-TX-330,Cotton Fabric Roll,MY01,611,91,521,3198.25,MTR,165
SKU-RB-201,Rubber Gasket,TH01,1519,266,548,3697.58,EA,144
SKU-RB-201,Rubber Gasket,SG01,378,183,359,638.26,EA,90
SKU-TC-090,Timber Panel,CN01,978,64,490,587.03,M3,331
SKU-TC-090,Timber Panel,SG01,1340,277,505,2701.54,M3,68
SKU-CP-330,Cast Part 330,SG01,692,344,142,797.87,EA,112
SKU-WR-410,Copper Wire 2.5mm,IN01,1673,213,331,2117.33,MTR,637
SKU-WR-410,Copper Wire 2.5mm,TH01,583,138,451,2528.94,MTR,115
SKU-CE-500,Ceramic Tile,IN01,222,262,288,1052.98,M2,98
SKU-EL-440,Circuit Board Assy,MY01,620,300,400,3681.77,EA,590
