notice_id,received_at,channel,supplier_id,item_number,notice_type,message_body,severity,confidence
DN-5000,2026-06-27 00:00:00,email,3022,SKU-EL-440,quality_hold,QA hold on inbound SKU-EL-440 pending inspection.,critical,0.8
DN-5001,2026-06-27 00:00:00,teams,3042,SKU-PK-770,supplier_delay,Supplier advises 19 day delay on SKU-PK-770.,medium,0.64
DN-5002,2026-07-08 00:00:00,teams,3017,SKU-CH-012,port_cutoff_miss,Container for SKU-CH-012 will miss the Friday port cut-off; next sailing in 6 days.,,0.65
DN-5003,2026-06-26 00:00:00,email,3021,SKU-RB-201,demand_spike,"Demand surge flagged for SKU-RB-201, exceeding safety stock.",critical,
DN-5004,25/06/2026,email,3008,SKU-PK-770,port_cutoff_miss,Shipment for SKU-PK-770 will miss the port cut-off on 2026-07-10.,high,0.59
DN-5005,2026-06-29 00:00:00,teams,3015,SKU-TX-330,demand_spike,"Demand surge flagged for SKU-TX-330, exceeding safety stock.",high,0.7
DN-5006,2026-07-04 00:00:00,email,3034,SKU-CEM-101,quality_hold,QA hold on inbound SKU-CEM-101 pending inspection.,critical,0.69
DN-5007,2026-06-26 00:00:00,email,3017,SKU-RB-201,supplier_delay,Supplier advises 14 day delay on SKU-RB-201.,critical,0.9
DN-5008,2026-06-30 00:00:00,email,3038,SKU-RB-201,demand_spike,"Demand surge flagged for SKU-RB-201, exceeding safety stock.",critical,0.74
DN-5009,2026-07-15 00:00:00,email,3018,SKU-FS-055,quality_hold,QA hold on inbound SKU-FS-055 pending inspection.,low,0.59
DN-5010,04/07/2026,email,3047,SKU-PL-220,quality_hold,QA hold on inbound SKU-PL-220 pending inspection.,medium,0.58
DN-5011,2026-07-04 00:00:00,email,3008,SKU-STL-014,demand_spike,"Demand surge flagged for SKU-STL-014, exceeding safety stock.",medium,0.58
DN-5012,14/07/2026,email,3040,SKU-CP-330,demand_spike,"Demand surge flagged for SKU-CP-330, exceeding safety stock.",medium,0.84
DN-5013,2026-07-07 00:00:00,teams,3043,SKU-CH-012,supplier_delay,Supplier advises 19 day delay on SKU-CH-012.,high,
DN-5014,2026-07-08 00:00:00,email,3003,SKU-WR-410,supplier_delay,Supplier advises 16 day delay on SKU-WR-410.,high,0.81
DN-5015,2026-07-07 00:00:00,email,3041,SKU-AGG-220,demand_spike,"Demand surge flagged for SKU-AGG-220, exceeding safety stock.",high,
DN-5016,10/07/2026,email,3018,SKU-PK-770,quality_hold,QA hold on inbound SKU-PK-770 pending inspection.,,0.68
DN-5017,2026-06-30 00:00:00,teams,3028,SKU-CP-330,supplier_delay,Supplier advises 8 day delay on SKU-CP-330.,critical,
DN-5018,25/06/2026,email,3003,SKU-WR-410,port_cutoff_miss,Shipment for SKU-WR-410 will miss the port cut-off on 2026-07-20.,high,0.83
DN-5019,2026-07-04 00:00:00,email,3032,SKU-RM-330,port_cutoff_miss,Container for SKU-RM-330 will miss the Friday port cut-off; next sailing in 6 days.,,
DN-5020,2026-06-29 00:00:00,email,3039,SKU-PL-220,quality_hold,QA hold on inbound SKU-PL-220 pending inspection.,,0.86
DN-5021,2026-06-26 00:00:00,teams,3022,SKU-WR-410,supplier_delay,Supplier advises 9 day delay on SKU-WR-410.,medium,0.89
DN-5022,09/07/2026,email,3021,SKU-CH-012,supplier_delay,Supplier advises 5 day delay on SKU-CH-012.,high,
DN-5023,2026-07-07 00:00:00,email,3005,SKU-CH-012,port_cutoff_miss,Shipment for SKU-CH-012 will miss the port cut-off on 2026-07-12.,low,0.63
DN-5024,2026-07-14 00:00:00,email,3017,SKU-WR-410,quality_hold,QA hold on inbound SKU-WR-410 pending inspection.,high,0.74
DN-5025,2026-07-12 00:00:00,email,3029,SKU-MT-101,supplier_delay,Supplier advises 6 day delay on SKU-MT-101.,,0.61
DN-5026,15/07/2026,email,3044,SKU-FS-055,demand_spike,"Demand surge flagged for SKU-FS-055, exceeding safety stock.",,0.87
DN-5027,2026-07-15 00:00:00,email,3016,SKU-RM-330,supplier_delay,Supplier advises 16 day delay on SKU-RM-330.,high,
DN-5028,2026-07-11 00:00:00,email,3031,SKU-RM-330,demand_spike,"Demand surge flagged for SKU-RM-330, exceeding safety stock.",critical,0.87
DN-5029,27/06/2026,email,3010,SKU-TX-330,supplier_delay,Supplier advises 7 day delay on SKU-TX-330.,high,0.69
DN-5030,2026-07-07 00:00:00,email,3030,SKU-TX-330,supplier_delay,Supplier advises 8 day delay on SKU-TX-330.,low,
DN-5031,2026-07-13 00:00:00,email,3022,SKU-EL-440,quality_hold,QA hold on inbound SKU-EL-440 pending inspection.,high,0.89
DN-5032,2026-07-14 00:00:00,email,3044,SKU-TC-090,quality_hold,QA hold on inbound SKU-TC-090 pending inspection.,,0.72
DN-5033,2026-07-15 00:00:00,email,3021,SKU-FS-055,port_cutoff_miss,Shipment for SKU-FS-055 will miss the port cut-off on 2026-07-20.,critical,0.72
DN-5034,2026-06-26 00:00:00,teams,3025,SKU-PK-770,supplier_delay,Supplier advises 7 day delay on SKU-PK-770.,high,0.74
DN-5035,2026-07-06 00:00:00,email,3036,SKU-CEM-101,port_cutoff_miss,Shipment for SKU-CEM-101 will miss the port cut-off on 2026-07-10.,,0.59
DN-5036,04/07/2026,email,3037,SKU-TC-090,demand_spike,"Demand surge flagged for SKU-TC-090, exceeding safety stock.",low,
DN-5037,2026-07-14 00:00:00,teams,3011,SKU-AGG-220,demand_spike,"Demand surge flagged for SKU-AGG-220, exceeding safety stock.",low,0.58
DN-5038,Jul 08 2026,email,3034,SKU-WR-410,supplier_delay,Supplier advises 19 day delay on SKU-WR-410.,,0.65
DN-5039,2026-07-02 00:00:00,email,3036,SKU-PK-770,demand_spike,"Demand surge flagged for SKU-PK-770, exceeding safety stock.",low,0.71
DN-5040,2026-07-04 00:00:00,email,3022,SKU-PK-770,supplier_delay,Supplier advises 18 day delay on SKU-PK-770.,high,
DN-5041,2026-06-30 00:00:00,email,3042,SKU-MT-101,port_cutoff_miss,Shipment for SKU-MT-101 will miss the port cut-off on 2026-07-20.,medium,
DN-5042,Jul 09 2026,teams,3025,SKU-CH-012,demand_spike,"Demand surge flagged for SKU-CH-012, exceeding safety stock.",critical,0.58
DN-5043,Jul 14 2026,email,3009,SKU-CEM-101,quality_hold,QA hold on inbound SKU-CEM-101 pending inspection.,,
DN-5044,2026-07-03 00:00:00,email,3047,SKU-TX-330,port_cutoff_miss,Shipment for SKU-TX-330 will miss the port cut-off on 2026-07-12.,medium,0.9
DN-5045,2026-07-24 00:00:00,email,3020,SKU-RB-201,supplier_shutdown,Brightwave (tier-2) plant fire; indefinite shutdown. Feedstock to multiple tier-1 lines halted.,critical,0.95
DN-5046,2026-07-25 00:00:00,teams,3016,SKU-EL-440,supplier_delay,Supplier advises 22 day delay on SKU-EL-440; recommend substitute sourcing.,high,0.88
DN-5047,2026-07-25 00:00:00,teams,3042,SKU-CP-330,supplier_delay,Supplier advises 17 day delay on SKU-CP-330; recommend substitute sourcing.,high,0.83
DN-5048,2026-07-26 00:00:00,email,3007,SKU-PL-220,supplier_delay,Supplier advises 12 day delay on SKU-PL-220; expedite available but contract clause 7.3 penalty applies.,high,0.9
DN-5049,2026-07-24 00:00:00,email,3018,SKU-FS-055,port_cutoff_miss,Port Klang labour strike; Friday cut-off missed for all pending containers. 12+ POs affected.,critical,0.92
DN-5050,2026-07-27 00:00:00,email,3034,SKU-CEM-101,quality_hold,ERP shows 1706 on-hand SKU-CEM-101 at MY02 but stock is committed to open customer orders.,high,
DN-5051,2026-07-26 00:00:00,email,3046,SKU-WR-410,demand_spike,"Demand surge flagged for SKU-WR-410, exceeding safety stock; supplier also reporting delay.",high,0.86
DN-5052,2026-07-26 00:00:00,teams,3046,SKU-WR-410,supplier_delay,Supplier advises 15 day delay on SKU-WR-410.,medium,0.79
DN-5053,2026-07-27 00:00:00,email,3039,SKU-CEM-101,supplier_delay,Supplier advises 9 day delay on SKU-CEM-101; may need to draw MY02 buffer.,high,0.81
DN-5054,2026-07-27 00:00:00,teams,3006,SKU-CEM-101,demand_spike,"Demand surge flagged for SKU-CEM-101 at MY02, exceeding safety stock.",high,0.8
DN-5055,Jul 24 2026,email,3020,SKU-PK-770,demand_spike,"Demand surge flagged for SKU-PK-770, exceeding safety stock.",medium,0.75
DN-5056,2026-06-12 00:00:00,teams,3057,SKU-STL-014,quality_hold,QA hold on inbound SKU-STL-014 pending inspection.,medium,
DN-5057,Jul 18 2026,teams,3058,SKU-WR-410,supplier_delay,Supplier advises 15 day delay on SKU-WR-410.,high,0.83
DN-5058,26/07/2026,teams,3050,SKU-MT-101,quality_hold,QA hold on inbound SKU-MT-101 pending inspection.,medium,0.82
DN-5059,Jul 11 2026,email,3023,SKU-RM-330,quality_hold,QA hold on inbound SKU-RM-330 pending inspection.,high,
DN-5060,22/06/2026,teams,3068,SKU-PK-770,supplier_delay,Supplier advises 17 day delay on SKU-PK-770.,high,0.94
DN-5061,2026-07-17 00:00:00,teams,3047,SKU-STL-014,supplier_delay,Supplier advises 17 day delay on SKU-STL-014.,medium,
DN-5062,2026-07-10 00:00:00,teams,3032,SKU-EL-440,supplier_delay,Supplier advises 16 day delay on SKU-EL-440.,critical,0.82
DN-5063,Jul 3 2026,email,3024,SKU-TC-090,supplier_delay,Supplier advises 14 day delay on SKU-TC-090.,low,0.85
DN-5064,Jul 24 2026,teams,3062,SKU-WR-410,supplier_delay,Supplier advises 8 day delay on SKU-WR-410.,low,0.65
DN-5065,12/07/2026,teams,3020,SKU-MT-101,supplier_delay,Supplier advises 9 day delay on SKU-MT-101.,medium,0.68
DN-5066,2026-06-16 00:00:00,email,3034,SKU-PL-220,quality_hold,QA hold on inbound SKU-PL-220 pending inspection.,high,0.86
DN-5067,2026-07-10 00:00:00,email,3066,SKU-RM-330,quality_hold,QA hold on inbound SKU-RM-330 pending inspection.,high,0.57
DN-5068,Jun 15 2026,email,3025,SKU-FS-055,port_cutoff_miss,Shipment for SKU-FS-055 will miss the port cut-off on 2026-07-28.,medium,0.56
DN-5069,2026-07-03 00:00:00,email,3008,SKU-FS-055,supplier_delay,Supplier advises 9 day delay on SKU-FS-055.,,
