id,item_number,customer,qty,promised_date,priority,ship_from_node,status,created_at
CO-8001,SKU-CEM-101,KL Metro Rail,900,2026-08-04 00:00:00,high,MY02,open,2026-06-20T00:00:00+08:00
CO-8002,SKU-CEM-101,Meridian Build Group,780,07/08/2026,high,MY02,open,2026-07-19T00:00:00+08:00
CO-8003,SKU-PL-220,Zenith Motors,700,2026-07-31 00:00:00,critical,SG01,open,2026-06-20T00:00:00+08:00
CO-8004,SKU-EL-440,Nexus Retail Chain,500,2026-08-05 00:00:00,high,SG01,open,2026-07-15T00:00:00+08:00
CO-8005,SKU-CP-330,Andaman Resorts Ltd,450,2026-08-01 00:00:00,high,MY02,open,2026-07-16T00:00:00+08:00
CO-8006,SKU-TX-330,KL Metro Rail,625,2026-09-01 00:00:00,medium,IN01,fulfilled,2026-07-23T00:00:00+08:00
CO-8007,SKU-PL-220,Nexus Retail Chain,416,2026-08-29 00:00:00,low,IN01,open,2026-07-10T00:00:00+08:00
CO-8008,SKU-WR-410,Meridian Build Group,180,Aug 23 2026,low,MY01,open,2026-07-14T00:00:00+08:00
CO-8009,SKU-PL-220,Andaman Resorts Ltd,249,2026-08-24 00:00:00,medium,CN01,allocated,2026-07-24T00:00:00+08:00
CO-8010,SKU-TC-090,Highland Infra JV,300,Sep 2 2026,high,SG01,allocated,2026-07-13T00:00:00+08:00
CO-8011,SKU-MT-101,KL Metro Rail,547,Aug 4 2026,high,MY02,open,2026-06-30T00:00:00+08:00
CO-8012,SKU-WR-410,Andaman Resorts Ltd,63,06/08/2026,low,TH01,allocated,2026-06-24T00:00:00+08:00
CO-8013,SKU-RM-330,Zenith Motors,615,2026-08-14 00:00:00,medium,MY01,fulfilled,2026-07-06T00:00:00+08:00
CO-8014,SKU-RB-201,Zenith Motors,331,2026-08-27 00:00:00,medium,MY02,allocated,2026-06-20T00:00:00+08:00
CO-8015,SKU-PK-770,Zenith Motors,250,Aug 7 2026,low,MY01,fulfilled,2026-06-21T00:00:00+08:00
