id,item_number,supplier_id,price,currency,lead_time_days,moq,valid_until,created_at
QT-9001,SKU-EL-440,3055,1520.0,MYR,7,250,2026-09-05,2026-07-10T00:00:00+08:00
QT-9002,SKU-CP-330,3055,1340.0,MYR,7,250,2026-09-11,2026-07-05T00:00:00+08:00
QT-9003,SKU-PL-220,3007,980.0,MYR,3,100,2026-08-09,2026-07-18T00:00:00+08:00
QT-9004,SKU-EL-440,3021,1810.0,MYR,21,100,2026-09-18,2026-07-11T00:00:00+08:00
QT-9005,SKU-CP-330,3042,1590.0,MYR,18,150,2026-09-16,2026-07-08T00:00:00+08:00
QT-9006,SKU-PL-220,3050,1120.0,MYR,14,500,2026-09-18,2026-07-21T00:00:00+08:00
QT-9007,SKU-AGG-220,3064,2835.06,MYR,5,250,2026-09-28,2026-07-14T00:00:00+08:00
QT-9008,SKU-WR-410,3026,99.71,MYR,7,250,2026-08-16,2026-07-25T00:00:00+08:00
QT-9009,SKU-CEM-101,3053,941.9,MYR,28,500,2026-08-15,2026-07-26T00:00:00+08:00
QT-9010,SKU-FS-055,3016,708.32,MYR,10,50,2026-08-18,2026-06-27T00:00:00+08:00
QT-9011,SKU-CE-500,3033,3166.79,MYR,21,250,2026-09-07,2026-07-04T00:00:00+08:00
QT-9012,SKU-RM-330,3036,990.53,MYR,10,50,2026-09-17,2026-07-13T00:00:00+08:00
QT-9013,SKU-FS-055,3072,358.52,MYR,21,500,2026-08-18,2026-07-17T00:00:00+08:00
QT-9014,SKU-WR-410,3043,556.84,MYR,5,50,2026-09-23,2026-07-07T00:00:00+08:00
QT-9015,SKU-STL-014,3056,567.19,MYR,14,50,2026-09-13,2026-07-16T00:00:00+08:00
QT-9016,SKU-CP-330,3006,468.98,MYR,5,50,2026-09-12,2026-07-24T00:00:00+08:00
QT-9017,SKU-TC-090,3031,446.07,MYR,14,100,2026-08-07,2026-07-11T00:00:00+08:00
QT-9018,SKU-TC-090,3035,3117.53,MYR,21,50,2026-09-18,2026-07-17T00:00:00+08:00
QT-9019,SKU-CEM-101,3035,2055.75,MYR,21,100,2026-08-19,2026-06-30T00:00:00+08:00
QT-9020,SKU-CEM-101,3044,2804.8,MYR,21,100,2026-08-22,2026-07-17T00:00:00+08:00
QT-9021,SKU-CH-012,3028,1688.25,MYR,28,500,2026-08-29,2026-07-04T00:00:00+08:00
QT-9022,SKU-PL-220,3058,248.35,MYR,7,250,2026-09-30,2026-07-13T00:00:00+08:00
QT-9023,SKU-RB-201,3024,2309.6,MYR,21,100,2026-08-24,2026-07-12T00:00:00+08:00
QT-9024,SKU-PK-770,3044,1389.88,MYR,10,50,2026-10-11,2026-07-15T00:00:00+08:00
QT-9025,SKU-PL-220,3004,986.82,MYR,21,50,2026-09-29,2026-07-08T00:00:00+08:00
QT-9026,SKU-EL-440,3016,2526.92,MYR,7,50,2026-09-18,2026-07-03T00:00:00+08:00
QT-9027,SKU-CE-500,3050,2722.83,MYR,14,250,2026-09-17,2026-07-16T00:00:00+08:00
QT-9028,SKU-PK-770,3032,1335.32,MYR,5,500,2026-08-11,2026-07-12T00:00:00+08:00
QT-9029,SKU-FS-055,3069,94.12,MYR,7,100,2026-10-04,2026-07-16T00:00:00+08:00
QT-9030,SKU-EL-440,3019,1916.45,MYR,10,500,2026-09-01,2026-07-09T00:00:00+08:00
QT-9031,SKU-MT-101,3059,3861.33,MYR,10,50,2026-08-15,2026-07-08T00:00:00+08:00
QT-9032,SKU-CEM-101,3041,520.02,MYR,10,500,2026-08-30,2026-07-17T00:00:00+08:00
QT-9033,SKU-RB-201,3003,3805.68,MYR,7,100,2026-09-11,2026-07-02T00:00:00+08:00
QT-9034,SKU-FS-055,3064,1080.84,MYR,7,250,2026-10-15,2026-07-04T00:00:00+08:00
QT-9035,SKU-MT-101,3016,162.1,MYR,10,50,2026-08-08,2026-07-23T00:00:00+08:00
QT-9036,SKU-PL-220,3030,2581.6,MYR,5,250,2026-09-01,2026-07-06T00:00:00+08:00
QT-9037,SKU-WR-410,3019,1492.03,MYR,10,100,2026-10-12,2026-07-22T00:00:00+08:00
QT-9038,SKU-CP-330,3064,2795.8,MYR,5,100,2026-08-22,2026-07-22T00:00:00+08:00
QT-9039,SKU-EL-440,3016,2114.36,MYR,28,250,2026-09-15,2026-07-16T00:00:00+08:00
QT-9040,SKU-CP-330,3046,1014.18,MYR,5,100,2026-10-13,2026-07-06T00:00:00+08:00
QT-9041,SKU-STL-014,3999,2100.0,MYR,12,100,2026-08-31,2026-07-01T00:00:00+08:00
