id,po_number,supplier_id,status,po_total,currency,ship_to_location,need_by_date,created_at,updated_at
90000,4500000,3018,issued,72551.35,MYR,MY01,2026-07-14 00:00:00,2026-03-21T00:00:00+08:00,2026-07-07T00:00:00+08:00
90001,4500001,3032,issued,149264.27,MYR,SG01,2026-08-01 00:00:00,2026-04-01T00:00:00+08:00,2026-06-26T00:00:00+08:00
90002,4500002,3042,closed,20994.55,MYR,IN01,2026-07-22 00:00:00,2026-06-04T00:00:00+08:00,2026-07-11T00:00:00+08:00
90003,4500003,3006,issued,56671.55,MYR,IN01,Jul 20 2026,2026-07-02T00:00:00+08:00,2026-07-01T00:00:00+08:00
90004,4500004,3018,issued,152372.02,MYR,MY01,2026-07-12 00:00:00,2026-05-20T00:00:00+08:00,2026-07-02T00:00:00+08:00
90005,4500005,3026,issued,169935.11,MYR,MY02,2026-07-07 00:00:00,2026-05-27T00:00:00+08:00,2026-07-13T00:00:00+08:00
90006,4500006,3006,issued,42861.2,MYR,MY02,Jul 10 2026,2026-04-07T00:00:00+08:00,2026-07-03T00:00:00+08:00
90007,4500007,3049,issued,99317.48,MYR,SG01,2026-06-30 00:00:00,2026-05-20T00:00:00+08:00,2026-07-14T00:00:00+08:00
90008,4500008,3038,issued,88792.54,MYR,SG01,2026-06-21 00:00:00,2026-05-27T00:00:00+08:00,2026-06-19T00:00:00+08:00
90009,4500009,3006,issued,29039.1,MYR,MY01,2026-08-06 00:00:00,2026-05-14T00:00:00+08:00,2026-07-07T00:00:00+08:00
90010,4500010,3007,soft_closed,11453.35,MYR,SG01,2026-08-02 00:00:00,2026-04-07T00:00:00+08:00,2026-07-05T00:00:00+08:00
90011,4500011,3021,issued,4887.72,MYR,MY02,2026-06-21 00:00:00,2026-04-30T00:00:00+08:00,2026-07-06T00:00:00+08:00
90012,4500012,3002,issued,25505.76,MYR,IN01,2026-06-29 00:00:00,2026-05-08T00:00:00+08:00,2026-07-01T00:00:00+08:00
90013,4500013,3002,issued,39529.26,MYR,MY01,2026-07-09 00:00:00,2026-06-08T00:00:00+08:00,2026-06-20T00:00:00+08:00
